Name;Price;Link;Img;Color;Category;Subcategory
"LEATHER BOMBER JACKET";"759.00 PLN";"https://www.zara.com/pl/en/leather-bomber-jacket-p00624401.html?v1=507744728&v2=2600116";"https://static.zara.net/assets/public/62c3/4afa/86704ccf9289/344f1e32e34f/00624401717-a1/00624401717-a1.jpg?ts=1772787370006&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"SUEDE LEATHER JACKET";"659.00 PLN";"https://www.zara.com/pl/en/leather-suede-jacket-p08281555.html?v1=495680342&v2=2600116";"https://static.zara.net/assets/public/3640/33e1/d2a94669b370/a303ab6fda7f/08281555710-a1/08281555710-a1.jpg?ts=1764930485510&w=302";"Beige";"JACKETS | GILETS";"LEATHER"
"RELAXED FIT LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/relaxed-fit-leather-jacket-p05388330.html?v1=495694029&v2=2600116";"https://static.zara.net/assets/public/1056/079c/859f4b07a9fa/80b4669f5150/05388330800-a1/05388330800-a1.jpg?ts=1768904816840&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"CROPPED NAPPA LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/cropped-fit-leather-jacket-p05388412.html?v1=506450406&v2=2600116";"https://static.zara.net/assets/public/76c5/9ccb/c2a24f3b8508/4b9275b00de6/05388412700-a1/05388412700-a1.jpg?ts=1770823325300&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"RELAXED FIT LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/relaxed-fit-leather-jacket-p05388330.html?v1=495694028&v2=2600116";"https://static.zara.net/assets/public/a0b2/88ea/fe7b4886963a/286d5145186e/05388330700-a1/05388330700-a1.jpg?ts=1768981678520&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"RELAXED FIT SUEDE LEATHER JACKET";"759.00 PLN";"https://www.zara.com/pl/en/relaxed-fit-suede-leather-jacket-p00624100.html?v1=507744692&v2=2600116";"https://static.zara.net/assets/public/5992/5bc9/3a0d46598498/d0ceda0cc9f8/00624100832-a1/00624100832-a1.jpg?ts=1772787386685&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"REGULAR FIT SUEDE LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/regular-fit-suede-leather-jacket-p08281304.html?v1=511839052&v2=2600116";"https://static.zara.net/assets/public/bb3a/c92f/9708419082db/f2aef8b5bea8/08281304401-a1/08281304401-a1.jpg?ts=1772726323363&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"LEATHER RELAXED FIT JACKET";"559.00 PLN";"https://www.zara.com/pl/en/relaxed-fit-leather-jacket-p05388408.html?v1=504020981&v2=2600116";"https://static.zara.net/assets/public/b8e3/d982/ddd743bd8c38/0de5a9f53d2b/05388408407-a1/05388408407-a1.jpg?ts=1771489096984&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"VINTAGE-EFFECT LEATHER JACKET";"899.00 PLN";"https://www.zara.com/pl/en/vintage-effect-leather-jacket-p04416408.html?v1=499873343&v2=2600116";"https://static.zara.net/assets/public/a545/441e/d1294e0b8228/94bc6c6767c5/04416408705-a1/04416408705-a1.jpg?ts=1770814373280&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"RELAXED FIT SUEDE LEATHER JACKET";"759.00 PLN";"https://www.zara.com/pl/en/relaxed-fit-suede-leather-jacket-p04416550.html?v1=508044877&v2=2600116";"https://static.zara.net/assets/public/0e2d/a552/0a554179ae94/02446d23068e/04416550778-a1/04416550778-a1.jpg?ts=1769427362479&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"CROPPED NAPA LEATHER JACKET";"759.00 PLN";"https://www.zara.com/pl/en/cropped-fit-nappa-leather-jacket-p04416501.html?v1=503293246&v2=2600116";"https://static.zara.net/assets/public/10b6/dbaf/7cee49c98cd8/9c1fd46ad5a8/04416501800-a1/04416501800-a1.jpg?ts=1769700478313&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"RELAXED FIT SPLIT SUEDE LEATHER JACKET";"759.00 PLN";"https://www.zara.com/pl/en/relaxed-fit-split-suede-leather-jacket-p05388600.html?v1=502582679&v2=2600116";"https://static.zara.net/assets/public/a781/c97c/527240e5b2c7/63b82593bb40/05388600802-a1/05388600802-a1.jpg?ts=1770118530450&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"CROPPED SUEDE LEATHER JACKET";"659.00 PLN";"https://www.zara.com/pl/en/cropped-suede-leather-jacket-p03833400.html?v1=502543660&v2=2600116";"https://static.zara.net/assets/public/d1e8/9727/bc8047b7a5ff/b28ccc12ddbd/03833400800-a1/03833400800-a1.jpg?ts=1772528266147&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"CONTRAST COLLAR LEATHER SPLIT SUEDE JACKET";"659.00 PLN";"https://www.zara.com/pl/en/leather-split-suede-jacket-with-contrast-collar-p08281293.html?v1=502232880&v2=2600116";"https://static.zara.net/assets/public/885d/265d/08d44de1a041/469513958bb0/08281293704-a1/08281293704-a1.jpg?ts=1771257465751&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"LEATHER SUEDE JACKET";"659.00 PLN";"https://www.zara.com/pl/en/leather-suede-jacket-p04416401.html?v1=497076906&v2=2600116";"https://static.zara.net/assets/public/d7aa/b554/01404fc59192/76ad1c0a5998/04416401716-a1/04416401716-a1.jpg?ts=1769515670976&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"OVERSIZE LEATHER BIKER JACKET";"659.00 PLN";"https://www.zara.com/pl/en/oversize-leather-biker-jacket-p04720201.html?v1=496078917&v2=2600116";"https://static.zara.net/assets/public/aaad/9225/2f234d5282de/7afd8d051076/04720201605-a1/04720201605-a1.jpg?ts=1769003684772&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"LEATHER JACKET WITH POCKETS";"659.00 PLN";"https://www.zara.com/pl/en/leather-jacket-with-pockets-p05479270.html?v1=495712154&v2=2600116";"https://static.zara.net/assets/public/6236/6561/d630428ca98f/eeb0e36484d7/05479270716-a1/05479270716-a1.jpg?ts=1768483926380&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"LEATHER SUEDE JACKET";"659.00 PLN";"https://www.zara.com/pl/en/leather-suede-jacket-p08281555.html?v1=495680343&v2=2600116";"https://static.zara.net/assets/public/36b8/990f/eb0346dfb637/e9b293ec37c0/08281555807-a1/08281555807-a1.jpg?ts=1764930482425&w=302";"Anthracite grey";"JACKETS | GILETS";"LEATHER"
"SUEDE LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/suede-leather-jacket-p06318501.html?v1=495693948&v2=2600116";"https://static.zara.net/assets/public/c0fe/e420/13b44abfa364/50bdc40180bd/06318501552-a1/06318501552-a1.jpg?ts=1770194548356&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"VINTAGE EFFECT LEATHER JACKET";"759.00 PLN";"https://www.zara.com/pl/en/vintage-effect-leather-jacket-p04416302.html?v1=524807625&v2=2600116";"https://static.zara.net/assets/public/5b08/05b5/711740fa94b9/4efff355c8ea/04416302716-a1/04416302716-a1.jpg?ts=1771590086079&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"LEATHER SUEDE JACKET";"899.00 PLN";"https://www.zara.com/pl/en/leather-suede-jacket-p04416320.html?v1=521781950&v2=2600116";"https://static.zara.net/assets/public/8885/0f5b/542a43bbaee4/09d1caa4696c/04416320515-a1/04416320515-a1.jpg?ts=1770889080189&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"RELAXED FIT LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/-p05388381.html?v1=510953516&v2=2600116";"https://static.zara.net/assets/public/5334/2ae5/6b6a4fc49152/63ba6cbc76aa/05388381500-a1/05388381500-a1.jpg?ts=1767859888544&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"TOPSTITCHED LEATHER JACKET";"559.00 PLN";"https://www.zara.com/pl/en/topstitched-leather-jacket-p04720202.html?v1=510857823&v2=2600116";"https://static.zara.net/assets/public/2808/3cf2/ab70426aa5c8/7c031b98f7d5/04720202759-a1/04720202759-a1.jpg?ts=1773057721434&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
"SUEDE LEATHER JACKET WITH POCKETS";"899.00 PLN";"https://www.zara.com/pl/en/suede-leather-jacket-with-pockets-p05601400.html?v1=508044963&v2=2600116";"https://static.zara.net/assets/public/298c/3ab2/7f674e47a195/a13a17c5ed38/05601400102-a1/05601400102-a1.jpg?ts=1770823308487&w=302";"NO_COLOR";"JACKETS | GILETS";"LEATHER"
