Name;Price;Link;Img;Color;Category;Subcategory
"EMBROIDERED TANK TOP";"89.90 PLN";"https://www.zara.com/pl/en/embroidered-tank-top-p08054323.html?v1=504253685&v2=2432034";"https://static.zara.net/assets/public/7661/37fb/760f464c8278/474bc582215f/08054323803-e1/08054323803-e1.jpg?ts=1770807013119&w=302";"NO_COLOR";"T-SHIRTS";"SLEEVELESS"
"BASIC RIBBED TANK TOP";"55.90 PLN";"https://www.zara.com/pl/en/basic-ribbed-tank-top-p04087450.html?v1=502245978&v2=2432034";"https://static.zara.net/assets/public/2856/f0d6/57294a248a0d/1f388d2014b6/04087450800-e1/04087450800-e1.jpg?ts=1767867269896&w=302";"Black";"T-SHIRTS";"SLEEVELESS"
"FADED TANK TOP";"89.90 PLN";"https://www.zara.com/pl/en/faded-tank-top-p00722454.html?v1=500610619&v2=2432034";"https://static.zara.net/assets/public/68de/6f5d/cdbe49169adf/34dc8bda195a/00722454712-e1/00722454712-e1.jpg?ts=1771841015129&w=302";"Ecru";"T-SHIRTS";"SLEEVELESS"
"TECHNICAL TANK TOP";"89.90 PLN";"https://www.zara.com/pl/en/technical-tank-top-p08054318.html?v1=495693848&v2=2432034";"https://static.zara.net/assets/public/0164/da40/d9ca48f4a00e/4371a1be3832/08054318250-e1/08054318250-e1.jpg?ts=1770636060295&w=302";"White";"T-SHIRTS";"SLEEVELESS"
"FADED TANK TOP";"69.90 PLN";"https://www.zara.com/pl/en/faded-tank-top-p00722460.html?v1=499201763&v2=2432034";"https://static.zara.net/assets/public/283c/e94c/3ddc4c48bfa6/1f760b62ea62/00722460250-e1/00722460250-e1.jpg?ts=1768834176097&w=302";"White";"T-SHIRTS";"SLEEVELESS"
"FADED TANK TOP";"69.90 PLN";"https://www.zara.com/pl/en/faded-tank-top-p00722460.html?v1=499201761&v2=2432034";"https://static.zara.net/assets/public/2cc4/7d13/e134418da26e/59ab2e5d0dca/00722490898-e1/00722490898-e1.jpg?ts=1769519024871&w=302";"Dark anthracite";"T-SHIRTS";"SLEEVELESS"
"FADED TANK TOP";"69.90 PLN";"https://www.zara.com/pl/en/faded-tank-top-p00722460.html?v1=499201760&v2=2432034";"https://static.zara.net/assets/public/6209/0195/92cf42148767/e5c1b09ae635/00722490600-e1/00722490600-e1.jpg?ts=1769519028197&w=302";"Red";"T-SHIRTS";"SLEEVELESS"
"RIBBED TANK TOP";"55.90 PLN";"https://www.zara.com/pl/en/ribbed-tank-top-p04087451.html?v1=502019258&v2=2432034";"https://static.zara.net/assets/public/763b/f223/0ea74b888acb/86306c8eefdf/04087451250-e1/04087451250-e1.jpg?ts=1767867283423&w=302";"White";"T-SHIRTS";"SLEEVELESS"
"RIBBED TANK TOP";"55.90 PLN";"https://www.zara.com/pl/en/ribbed-tank-top-p04087451.html?v1=502019257&v2=2432034";"https://static.zara.net/assets/public/d765/8581/d3da429eb9a3/51648d006233/04087451800-e1/04087451800-e1.jpg?ts=1767867275772&w=302";"Black";"T-SHIRTS";"SLEEVELESS"
"BASIC RIBBED TANK TOP";"55.90 PLN";"https://www.zara.com/pl/en/basic-ribbed-tank-top-p04087450.html?v1=502019253&v2=2432034";"https://static.zara.net/assets/public/3b57/7e66/82be48bf87de/578294c20310/04087450250-e1/04087450250-e1.jpg?ts=1767867264397&w=302";"White";"T-SHIRTS";"SLEEVELESS"
"FADED TANK TOP";"89.90 PLN";"https://www.zara.com/pl/en/faded-tank-top-p00722454.html?v1=500270038&v2=2432034";"https://static.zara.net/assets/public/4160/195a/9b234c158e3c/b2f974816be2/00722454802-e1/00722454802-e1.jpg?ts=1771841010823&w=302";"Grey";"T-SHIRTS";"SLEEVELESS"
"FADED TANK TOP";"89.90 PLN";"https://www.zara.com/pl/en/faded-tank-top-p00722454.html?v1=500270037&v2=2432034";"https://static.zara.net/assets/public/1fcd/780c/043a40eeae24/e34ce347819f/00722454898-e1/00722454898-e1.jpg?ts=1771841340196&w=302";"Dark anthracite";"T-SHIRTS";"SLEEVELESS"
